event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
Fort Hood Soldier Readiness Processing Center,45,32,13,Fort Hood,Texas,Government,0,0,2,0,2009-11-05T13:20:00Z,39,Male
Fort Lauderdale-Hollywood International Airport,13,8,5,Fort Lauderdale,Florida,Government,0,0,1,0,2017-01-06T13:15:00Z,26,Male
Forza Coffee Shop,4,0,4,Tacoma,Washington,Commerce,0,0,1,0,2009-11-29T08:15:00Z,37,Male
"Frankstown Township, Pennsylvania",6,3,3,Frankstown Township,Pennsylvania,Open Space,0,0,2,0,2012-12-21T08:59:00Z,44,Male
Freeman High School,4,3,1,Rockford,Washington,Education,1,0,1,0,2017-09-13T10:00:00Z,15,Male
FreightCar America,4,3,1,Roanoke,Virginia,Commerce,0,0,1,0,2016-10-25T06:00:00Z,53,Male
"Gainesville, Florida",6,5,1,Gainesville,Florida,Open Space,0,0,1,0,2010-10-04T16:00:00Z,24,Male
Giordano and Giordano Law Office,5,3,2,Alexandria,Louisiana,Commerce,0,0,1,0,2007-10-04T14:00:00Z,63,Male
GLHF Game Bar,13,11,2,Jacksonville,Florida,Commerce,0,0,2,0,2018-08-26T13:34:00Z,24,Male
Gold Leaf Nursery,3,0,3,Boynton Beach,Florida,Commerce,0,0,1,0,2003-07-28T11:40:00Z,45,Male
"Government Buildings in Austin, Texas",0,0,0,Austin,Texas,Government,1,0,1,2,2014-11-28T02:21:00Z,49,Male
Grady Crawford Construction,3,1,2,Baton Rouge,Louisiana,Commerce,0,0,1,0,2009-12-23T13:50:00Z,53,Male
Grand 16 Theatre,11,9,2,Lafayette,Louisiana,Commerce,0,0,1,0,2015-07-23T19:15:00Z,59,Male
Granite Hills High School,5,5,0,El Cajon,California,Education,0,1,1,0,2001-03-22T12:55:00Z,18,Male
"Group Home in Topeka, Kansas",4,1,3,Topeka,Kansas,Health Care,0,0,1,0,2017-04-30T15:50:00Z,25,Male
Hardford Beer Distribution Center,10,2,8,Manchester,Connecticut,Commerce,0,0,2,0,2010-08-03T07:00:00Z,34,Male
Harkness Hall at Hampton University,2,2,0,Hampton,Virginia,Education,0,0,3,0,2009-04-26T00:57:00Z,18,Male
H-E-B Grocery Store,4,3,1,Palmview,Texas,Commerce,0,0,1,0,2016-11-28T03:15:00Z,25,Male
Helen Vine Recovery Center,3,2,1,San Rafael,California,Health Care,0,0,1,0,2018-11-05T01:30:00Z,37,Male
Hialeah Apartment Building,6,0,6,Hialeah,Florida,Residence,0,0,1,0,2013-07-26T18:30:00Z,42,Male
"Highway 141 in Gateway, Colorado",0,0,0,Gateway,Colorado,Open Space,0,0,1,0,2017-07-30T16:15:00Z,54,Male
"Highway 365 Near Whitehall Road in Gainesville, Georgia",3,3,0,Gainesville,Georgia,Open Space,0,0,1,0,2018-05-04T11:58:00Z,26,Male
Highway 509 Near Seattle-Tacoma International Airport,0,0,0,Seattle,Washington,Open Space,NA,NA,NA,NA,2018-06-13T13:42:00Z,NA,NA
Hon-Dah Resort Casino and Conference Center,2,2,0,Pinetop,Arizona,Commerce,1,0,0,0,2014-08-02T18:38:00Z,28,Male
Hot Yoga Tallahassee,7,5,2,Tallahassee,Florida,Commerce,0,0,1,0,2018-11-02T17:37:00Z,40,Male
"House Party in Mukilteo, Washington",4,1,3,Mukilteo,Washington,Residence,1,0,0,0,2016-07-30T00:07:00Z,19,Male
"House Party in South Jamaica, New York",11,11,0,Queens,New York,Residence,0,0,1,0,2011-08-27T00:40:00Z,22,Male
Inland Region Center,18,11,7,San Bernardino,California,Commerce,1,0,1,1,2015-12-02T11:30:00Z,28,Male
Inland Region Center,18,11,7,San Bernardino,California,Commerce,1,0,1,0,2015-12-02T11:30:00Z,29,Female
Inskip Elementary School,2,2,0,Knoxville,Tennessee,Education,0,0,1,0,2010-02-10T12:49:00Z,48,Male
International House of Pancakes,11,7,4,Carson City,Nevada,Commerce,1,0,0,0,2011-09-06T08:58:00Z,32,Male
"Interstate 5 in Skagit County, Washington",10,4,6,Alger,Washington,Open Space,1,0,0,0,2008-09-02T14:15:00Z,28,Male
J.T. Tire,4,2,2,Durham,North Carolina,Commerce,0,0,1,0,2012-03-23T15:02:00Z,24,Male
Jewish Community Center of Greater Kansas City and Village Shalom Retirement Community,3,0,3,Overland Park,Kansas,House of Worship,0,1,2,0,2014-04-13T01:00:00Z,73,Male
Jewish Federation of Greater Seattle,6,5,1,Seattle,Washington,House of Worship,0,0,2,0,2006-07-28T16:00:00Z,30,Male
John's Barbershop and Gaffey's Clean Car Center,6,2,4,Herkimer,New York,Commerce,0,1,0,0,2013-03-13T09:30:00Z,64,Male
Kanawha County Board of Education,1,1,0,Charleston,West Virginia,Education,2,0,2,0,2003-07-17T19:00:00Z,58,Male
Kelly Elementary School,2,2,0,Carlsbad,California,Education,0,0,1,0,2010-10-08T12:10:00Z,41,Male
Kenyon Press,3,3,0,Signal Hill,California,Commerce,0,0,1,0,2007-03-05T09:00:00Z,68,Male
Kirkwood City Hall,6,0,6,Kirkwood,Missouri,Government,0,0,2,0,2008-02-07T19:00:00Z,52,Male
Kkottongnae Retreat Camp,3,2,1,Temecula,California,House of Worship,0,0,1,0,2009-04-07T19:23:00Z,69,Male
Knight Transportation Building,3,2,1,Katy,Texas,Commerce,0,1,1,0,2016-05-04T08:45:00Z,65,Male
Kraft Foods Factory,3,1,2,Philadelphia,Pennsylvania,Commerce,0,0,1,0,2010-09-09T20:35:00Z,43,Female
