Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
"Government Buildings in Austin, Texas",0,0,0,Austin,Texas,Government,1,0,1,2,11/28/2014,2:21:00 AM,49,Male
Grady Crawford Construction,3,1,2,Baton Rouge,Louisiana,Commerce,0,0,1,0,12/23/2009,1:50:00 PM,53,Male
Grand 16 Theatre,11,9,2,Lafayette,Louisiana,Commerce,0,0,1,0,7/23/2015,7:15:00 PM,59,Male
Granite Hills High School,5,5,0,El Cajon,California,Education,0,1,1,0,3/22/2001,12:55:00 PM,18,Male
"Group Home in Topeka, Kansas",4,1,3,Topeka,Kansas,Health Care,0,0,1,0,4/30/2017,3:50:00 PM,25,Male
Hardford Beer Distribution Center,10,2,8,Manchester,Connecticut,Commerce,0,0,2,0,8/3/2010,7:00:00 AM,34,Male
Harkness Hall at Hampton University,2,2,0,Hampton,Virginia,Education,0,0,3,0,4/26/2009,12:57:00 AM,18,Male
H-E-B Grocery Store,4,3,1,Palmview,Texas,Commerce,0,0,1,0,11/28/2016,3:15:00 AM,25,Male
Helen Vine Recovery Center,3,2,1,San Rafael,California,Health Care,0,0,1,0,11/5/2018,1:30:00 AM,37,Male
Hialeah Apartment Building,6,0,6,Hialeah,Florida,Residence,0,0,1,0,7/26/2013,6:30:00 PM,42,Male
"Highway 141 in Gateway, Colorado",0,0,0,Gateway,Colorado,Open Space,0,0,1,0,7/30/2017,4:15:00 PM,54,Male
"Highway 365 Near Whitehall Road in Gainesville, Georgia",3,3,0,Gainesville,Georgia,Open Space,0,0,1,0,5/4/2018,11:58:00 AM,26,Male
Highway 509 Near Seattle-Tacoma International Airport,0,0,0,Seattle,Washington,Open Space,,,,,6/13/2018,1:42:00 PM,,
Hon-Dah Resort Casino and Conference Center,2,2,0,Pinetop,Arizona,Commerce,1,0,0,0,8/2/2014,6:38:00 PM,28,Male
Hot Yoga Tallahassee,7,5,2,Tallahassee,Florida,Commerce,0,0,1,0,11/2/2018,5:37:00 PM,40,Male
"House Party in Mukilteo, Washington",4,1,3,Mukilteo,Washington,Residence,1,0,0,0,7/30/2016,12:07:00 AM,19,Male
"House Party in South Jamaica, New York",11,11,0,Queens,New York,Residence,0,0,1,0,8/27/2011,12:40:00 AM,22,Male
Inland Region Center,18,11,7,San Bernardino,California,Commerce,1,0,1,1,12/2/2015,11:30:00 AM,28,Male
Inland Region Center,18,11,7,San Bernardino,California,Commerce,1,0,1,0,12/2/2015,11:30:00 AM,29,Female
Inskip Elementary School,2,2,0,Knoxville,Tennessee,Education,0,0,1,0,2/10/2010,12:49:00 PM,48,Male
International House of Pancakes,11,7,4,Carson City,Nevada,Commerce,1,0,0,0,9/6/2011,8:58:00 AM,32,Male
"Interstate 5 in Skagit County, Washington",10,4,6,Alger,Washington,Open Space,1,0,0,0,9/2/2008,2:15:00 PM,28,Male
J.T. Tire,4,2,2,Durham,North Carolina,Commerce,0,0,1,0,3/23/2012,3:02:00 PM,24,Male
